== Sabre Benchmark Results ==

Sabre Version: 0.7
JRE Vendor:    Eclipse Adoptium
JRE Version:   17.0.8.1
OS Name:       Windows 10
OS Version:    10.0
Start:         2023-11-11T13:59:49.560-05:00[America/New_York]
End:           2023-11-11T14:02:49.580-05:00[America/New_York]
Duration:      180020ms

= Problems =

+----------------+------------+----------+---------+---------+----------+------+-----+-----+----+
| Name           | Characters | Entities | Fluents | Actions | Triggers | Goal | ATL | CTL | EL |
+----------------+------------+----------+---------+---------+----------+------+-----+-----+----+
| bribery        |          3 |        5 |       4 |       5 |        0 | 1.00 |   5 |   5 |  2 |
| deerhunter_any |          3 |        8 |       7 |       8 |        7 | 1.00 |  10 |   6 |  1 |
+----------------+------------+----------+---------+---------+----------+------+-----+-----+----+

= Compiled Problems =

+----------------+------------+----------+---------+---------+----------+------+-----+-----+----+
| Name           | Characters | Entities | Fluents | Actions | Triggers | Goal | ATL | CTL | EL |
+----------------+------------+----------+---------+---------+----------+------+-----+-----+----+
| bribery        |          3 |        5 |      16 |      27 |        0 | 1.00 |   5 |   5 |  2 |
| deerhunter_any |          3 |        8 |      35 |      28 |       76 | 1.00 |  10 |   6 |  1 |
+----------------+------------+----------+---------+---------+----------+------+-----+-----+----+

= Planners =

+--------+-------------------+----------+-------------------------------------+
| Name   | Search Method     | Cost     | Heuristic                           |
+--------+-------------------+----------+-------------------------------------+
| BFS    | best-first        | temporal | reachability                        |
| EFS    | explanation-first | temporal | reachability                        |
| GFS    | goal-first        | temporal | reachability                        |
| A* h+  | best-first        | temporal | sum graph with no repeated roots    |
| A* rp  | best-first        | temporal | relaxed plan with no repeated roots |
| EFS h+ | explanation-first | temporal | sum graph with no repeated roots    |
| EFS rp | explanation-first | temporal | relaxed plan with no repeated roots |
| GFS h+ | goal-first        | temporal | sum graph with no repeated roots    |
| GFS rp | goal-first        | temporal | relaxed plan with no repeated roots |
+--------+-------------------+----------+-------------------------------------+

= Results =

+----------------+---------+-----+----------+-------------+---------------+-----------------+-----------+
| Problem        | Planner | Run | Success? | Plan Length | Nodes Visited | Nodes Generated | Time (ms) |
+----------------+---------+-----+----------+-------------+---------------+-----------------+-----------+
| bribery        | BFS     |   1 | true     |           2 |             7 |             125 |         3 |
| bribery        | BFS     |   2 | true     |           2 |             7 |             125 |         3 |
| bribery        | BFS     |   3 | true     |           2 |             6 |             109 |         1 |
| bribery        | BFS     |   4 | true     |           2 |             7 |             125 |         3 |
| bribery        | BFS     |   5 | true     |           2 |             6 |             109 |         2 |
| bribery        | BFS     |   6 | true     |           2 |             7 |             125 |         2 |
| bribery        | BFS     |   7 | true     |           2 |             7 |             125 |         2 |
| bribery        | BFS     |   8 | true     |           2 |             7 |             125 |         2 |
| bribery        | BFS     |   9 | true     |           2 |             6 |             109 |         2 |
| bribery        | BFS     |  10 | true     |           2 |             6 |             109 |         2 |
| bribery        | EFS     |   1 | true     |           2 |         23493 |           23871 |       289 |
| bribery        | EFS     |   2 | true     |           2 |         23519 |           23949 |       262 |
| bribery        | EFS     |   3 | true     |           2 |         23519 |           23949 |       225 |
| bribery        | EFS     |   4 | true     |           2 |         23519 |           23949 |       216 |
| bribery        | EFS     |   5 | true     |           2 |         23518 |           23949 |       208 |
| bribery        | EFS     |   6 | true     |           2 |         23494 |           23871 |       192 |
| bribery        | EFS     |   7 | true     |           2 |         23493 |           23871 |       189 |
| bribery        | EFS     |   8 | true     |           2 |         23493 |           23871 |       187 |
| bribery        | EFS     |   9 | true     |           2 |         23494 |           23871 |       195 |
| bribery        | EFS     |  10 | true     |           2 |         23518 |           23949 |       192 |
| bribery        | GFS     |   1 | true     |           2 |            88 |             968 |         1 |
| bribery        | GFS     |   2 | true     |           2 |            78 |             858 |         2 |
| bribery        | GFS     |   3 | true     |           2 |            99 |            1088 |         2 |
| bribery        | GFS     |   4 | true     |           2 |            99 |            1088 |         2 |
| bribery        | GFS     |   5 | true     |           2 |            78 |             858 |         2 |
| bribery        | GFS     |   6 | true     |           2 |            90 |             988 |         2 |
| bribery        | GFS     |   7 | true     |           2 |            97 |            1068 |         1 |
| bribery        | GFS     |   8 | true     |           2 |           100 |            1098 |         3 |
